1829990.700 5665808.200 -10.700
1829938.600 5665727.400 11.600
1829911.400 5665640.100 -31.900
1829862.000 5665553.900 -72.400
1829806.600 5665469.700 98.300
1829757.200 5665389.000 98.700
1829701.900 5665305.800 126.100
1829638.200 5665229.600 -4.500
1829570.200 5665158.700 -24.700
1829497.200 5665090.500 -50.600
1829423.800 5665032.200 -47.800
1829337.300 5664989.700 -28.200
1829262.000 5664945.900 12.000
1829187.000 5664901.700 -59.400
1829100.200 5664866.000 -40.100
1829026.400 5664804.800 -174.000
1828955.700 5664734.500 -72.000
1828878.300 5664674.900 -25.900
1828833.000 5664594.800 -24.100
1828791.600 5664510.400 -73.900
1828777.800 5664427.900 -150.900
1828751.100 5664331.900 -99.200
1828750.000 5664237.800 -102.000
1828746.300 5664152.600 -123.400
1828839.600 5664154.500 -7.900
1828913.900 5664109.100 10.700
1828991.900 5664046.300 106.700
1829031.600 5663963.200 173.900
1829083.400 5663878.200 158.200
1829140.100 5663804.500 116.800
1829209.700 5663732.600 4.600
1829272.500 5663657.200 53.100
1829331.900 5663577.900 64.500
1829387.300 5663497.700 10.800
1829443.600 5663417.400 5.300
1829531.300 5663378.400 -20.100
1829635.500 5663378.400 -89.700
1829733.400 5663386.100 -72.800
1829821.100 5663412.100 -8.800
1829910.100 5663437.400 -1.100
1830003.300 5663393.900 71.900
1830089.800 5663356.500 232.500
1830179.400 5663311.300 274.000
1830267.900 5663286.600 185.700
1830368.300 5663292.600 284.200
1830468.400 5663294.800 251.000
1830567.700 5663296.400 523.600
1830660.600 5663333.900 915.100
1830786.700 5663400.600 1085.700
1830858.000 5663468.700 1134.100
1830927.200 5663539.700 1119.000
1830991.700 5663612.400 945.000
1831073.200 5663651.100 591.200
1831026.000 5663740.200 628.400
1830965.300 5663819.500 724.600
1830892.000 5663890.900 791.700
1830832.300 5663968.100 548.600
1830786.700 5664043.600 283.400
1830712.900 5664105.200 140.800
1830649.100 5664188.500 158.000
1830574.800 5664249.100 240.000
1830507.300 5664323.900 212.900
1830435.900 5664376.900 308.500
1830340.200 5664407.900 379.500
1830242.500 5664431.600 86.700
1830150.900 5664462.400 46.600
1830071.000 5664504.400 189.100
1829990.400 5664537.600 240.500
1829916.000 5664597.300 178.500
1829881.100 5664675.800 106.100
1829832.900 5664766.600 22.200
1829779.800 5664836.700 19.400
1829727.200 5664900.800 -85.100
1829720.500 5664993.200 -77.100
1829705.700 5665074.800 -95.000
1829699.500 5665169.200 -45.000
1830231.800 5666057.700 -0.800
1830328.000 5666059.800 -61.000
1830427.100 5666067.200 -41.700
1830514.500 5666096.100 -37.500
1830602.200 5666131.100 -24.000
1830675.800 5666165.300 -52.500
1830763.200 5666146.500 -22.700
1830816.200 5666206.100 3.100
1830901.200 5666246.400 9.900
1830977.300 5666305.600 45.400
1831030.100 5666384.500 51.900
1831087.000 5666461.400 10.600
1831139.300 5666547.800 66.900
1831192.400 5666632.200 19.600
1831247.900 5666712.500 -10.700
1831301.000 5666793.000 -24.400
1831358.100 5666865.200 -83.100
1831415.100 5666950.600 -102.200
1831391.600 5667047.500 -81.600
1831393.400 5667145.900 -87.900
1831381.000 5667242.800 -72.100
1831368.200 5667336.300 -86.000
1831337.800 5667431.600 -79.500
1831294.600 5667516.800 -93.300
1831249.500 5667596.400 -110.900
1831243.800 5667681.200 -54.500
1831167.300 5667711.300 -82.800
1831092.800 5667775.700 -129.800
1831013.500 5667833.900 -53.400
1830937.600 5667882.500 -70.900
1830872.600 5667950.400 -82.400
1830815.000 5668028.700 -101.300
1830744.600 5668091.100 -128.700
1830691.500 5668152.800 -164.500
1830666.600 5668243.100 -229.000
1830664.400 5668340.900 -288.400
1830682.800 5668437.500 -294.100
1830719.600 5668513.100 -201.500
